"Journal Data Filtered By:  Selected Categories: INFORMATION SCIENCE & LIBRARY SCIENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"JLIS.it","JLIS.IT","UNIV STUDI FIRENZE, DIPT STUDI MEDIOEVO & RINASCIMENTO","2038-5366","2038-1026","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","124","0.5","Q3","0.23","95.56"%,
"RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL","RESTAURATOR","WALTER DE GRUYTER GMBH","0034-5806","1865-8431","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","296","0.5","Q3","0.18","10.64"%,
"College & Undergraduate Libraries","COLL UNDERGRAD LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1069-1316","1545-2530","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","250","0.5","Q3","0.17","9.09"%,
"Collection Management","COLLECT MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0146-2679","1545-2549","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","213","0.5","Q3","0.15","4.55"%,
"Hipertext Net","HIPERTEXT NET","Univ Pompeu Fabra, Dept Comunicacio","N/A","1695-5498","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","64","0.5","Q3","0.15","98.78"%,
"KNOWLEDGE ORGANIZATION","KNOWL ORGAN","NOMOS VERLAGSGESELLSCHAFT MBH & CO KG","0943-7444","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","564","0.5","Q3","0.15","0"%,
"Malaysian Journal of Library & Information Science","MALAYS J LIBR INF SC","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","1394-6234","1394-6234","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","262","0.5","Q3","0.15","88.33"%,
"South African Journal of Libraries and Information Science","S AFR J LIBR INF","FORUM PRESS","0256-8861","2304-8263","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","167","0.5","Q3","0.12","61.11"%,
"Encontros Bibli-Revista Eletronica de Biblioteconomia e Ciencia da Informacao","ENCONTROS BIBLI","UNIV FEDERAL SANTA CATARINA","N/A","1518-2924","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","160","0.5","Q3","0.06","90.23"%,
"RDBCI-Revista Digital de Biblioteconomia e Ciencia da Informacao","RDBCI-REV DIG BIB CI","UNIV ESTADUAL CAMPINAS - SISTEMA BIBLIOTECAS","N/A","1678-765X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","119","0.5","Q3","0.05","68.57"%,
"Scientific and Technical Information Processing","SCI TECH INF PROCESS","PLEIADES PUBLISHING INC","0147-6882","1934-8118","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","233","0.4","Q4","0.14","0"%,
"Annals of Library and Information Studies","ANN LIBR INF STUD","NATL INST SCIENCE COMMUNICATION-NISCAIR","0972-5423","0975-2404","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","172","0.4","Q4","0.1","95.96"%,
"Anales de Documentacion","AN DOC","UNIV MURCIA","1575-2437","1697-7904","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","73","0.4","Q4","0.08","79.17"%,
"Investigacion Bibliotecologica","INVESTIG BIBLIOTECOL","UNIV NACIONAL AUTONOMA MEXICO","0187-358X","2448-8321","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","184","0.4","Q4","0.08","92.68"%,
"Journal of Library and Information Studies","J LIBR INFORM STUD","NATL TAIWAN UNIV, DEPT LIBRARY & INFORMATION SCIENCE","1606-7509","2309-9119","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","34","0.4","Q4","0.08","0"%,
"LAW LIBRARY JOURNAL","LAW LIBR J","AMER ASSOC LAW LIBRARIES","0023-9283","0023-9283","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","133","0.3","Q4","0.17","0"%,
"Journal of Map & Geography Libraries","J MAP GEOGR LIBR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1542-0353","1542-0361","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","97","0.3","Q4","0.1","13.16"%,
"LIBRARY TRENDS","LIBR TRENDS","JOHNS HOPKINS UNIV PRESS","0024-2594","1559-0682","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","960","0.3","Q4","0.09","0"%,
"Nauchnye i Tekhnicheskie Biblioteki-Scientific and Technical Libraries","NAUCHNYE TEK BIBL","RUSSIAN NATL PUBLIC LIBRARY SCIENCE & TECHNOLOGY","0130-9765","0130-9765","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","134","0.3","Q4","0.09","89.61"%,
"AIB Studi","AIB STUD","ASSOC ITALIANA BIBLIOTECHE-AIB","2280-9112","2239-6144","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","41","0.3","Q4","0.07","0"%,
"Libres-Library and Information Science Research Electronic Journal","LIBRES","NANYANG TECHNOLOGICAL UNIV LIBRARY","1058-6768","1058-6768","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","47","0.3","Q4","0.06","100"%,
"Perspectivas em Ciencia da Informacao","PERSPECT CIENC INF","UNIV FEDERAL MINAS GERAIS, ESCOLA BIBLIOTECONOMIA","1413-9936","1981-5344","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","246","0.3","Q4","0.05","85.06"%,
"Scire-Representacion y Organizacion del Conocimiento","SCIRE","UNIV ZARAGOZA","1135-3716","2340-7042","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","37","0.3","Q4","0.04","48.48"%,
"International Journal of Public Administration in the Digital Age","INT J PUBLIC ADM DIG","IGI GLOBAL","2334-4520","2334-4539","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","87","0.2","Q4","0.13","90"%,
"Knygotyra","KNYGOTYRA","VILNIUS UNIV PRESS","0204-2061","2345-0053","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","69","0.2","Q4","0.13","100"%,
"Em Questao","EM QUESTAO","UNIV FEDERAL RIO GRANDE SUL, FAC BIBLIOTECONOMIA & COMUNICACAO","1807-8893","1808-5245","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","210","0.2","Q4","0.1","91.41"%,
"Ibersid-Revista de Sistemas de Informacion y Documentacion","IBERSID","IBERSID NETWORK","1888-0967","2174-081X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","43","0.2","Q4","0.06","39.06"%,
"Revista General de Informacion y Documentacion","REV GEN INF DOC","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1132-1873","1988-2858","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","145","0.2","Q4","0.06","94.81"%,
"AtoZ-Novas Praticas em Informacao e Conhecimento","ATOZ","UNIV FEDERAL PARANA, DEPT CIENCIA & GESTAO INFORMACAO","2237-826X","2237-826X","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","53","0.2","Q4","0.05","1.09"%,
"ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE","Z BIBL BIBL","VITTORIO KLOSTERMANN GMBH","0044-2380","1864-2950","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","34","0.2","Q4","0.04","0"%,
"Biblios-Revista de Bibliotecologia y Ciencias de la Informacion","BIBLIOS","UNIV PITTSBURGH, UNIV LIBRARY SYSTEM","1562-4730","1562-4730","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","66","0.2","Q4","0.03","97.44"%,
"Bibliotecas-Anales de Investigacion","BIBL-AN INVESTIG","BIBLIOTECA NACL CUBA JOSE MARTI","0006-176X","1683-8947","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","61","0.2","Q4","0.01","0"%,
"Cuadernos de Documentacion Multimedia","CUAD DOC MULTIMED","UNIV COMPLUTENSE MADRID, SERVICIO PUBLICACIONES","1575-9733","1575-9733","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","35","0.1","Q4","0.06","94.44"%,
"E-Ciencias de la Informacion","E-CIENC INF","UNIV COSTA RICA, CENTRO INVESTIGACIONES & MATEMATICA PURA & APLICADA","1659-4142","1659-4142","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","23","0.1","Q4","0.05","98.25"%,
"Qualitative & Quantitative Methods in Libraries","QUAL QUANT METHODS L","INT SOC ART SCIENCE & TECHNOLOGY-ISAST","2241-1925","2241-1925","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","148","0.1","Q4","0.05","0"%,
"Bibliotecas-Revista de la Escuela de Bibliotecologia Documentacion e Informacion","BIBLIOTECAS","UNIV NACL, ESCUELA BIBLIOTECOLOGIA DOCUMENTACION & INFORMACION","1409-3049","1659-3286","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","9","0.1","Q4","0.04","79.17"%,
"Bibliothek Forschung und Praxis","BIBL FORSCH PRAX","WALTER DE GRUYTER GMBH","0341-4183","1865-7648","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","79","0.1","Q4","0.03","88.24"%,
"Documentation et Bibliotheques","DOC BIBL","ASSOC AVANCEMENT SCIENCES TECHNIQUES DOCUMENTATION","0315-2340","0315-2340","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","31","0.1","Q4","0.03","0"%,
"Library & Information History","LIBR INF HIST","EDINBURGH UNIV PRESS","1758-3489","1758-3497","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","50","0.1","Q4","0.03","3.45"%,
"Metodos de informacion","METODOS INF","COLLEGI OFICIAL BIBLIOTECARIS & DOCUMENTALISTES COMUNITAT VALENCI","1134-2838","2173-1241","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","11","0.1","Q4","0.03","78.26"%,
"Revista Ibero-Americana de Ciencia da Informacao","REV IBERI-AM CIENC I","UNIV BRASILIA, DEPT CIENCIA INFORMACAO","1983-5213","1983-5213","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","41","0.1","Q4","0.03","81.25"%,
"Turkish Librarianship","TURK LIBRARIANSH","TURKISH LIBRARIANS ASSOC","1300-0039","2147-9682","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","94","0.1","Q4","0.03","82.98"%,
"ACERVO","ACERVO-BRAZIL","Arquivo Nacional","0102-700X","2237-8723","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","76","0.1","Q4","0.01","0.64"%,
"Bosniaca-Journal of the National and University Library of Bosnia and Herzegovina","BOSNIACA","NATL & UNIV LIBRARY BOSNIA & HERZEGOVINA","1512-5033","2303-8888","INFORMATION SCIENCE & LIBRARY SCIENCE","ESCI","11","0.1","Q4","0.01","94.29"%,
"Informacao & Sociedade-Estudos","INFORM SOC-ESTUD","UNIV FEDERAL PARAIBA","0104-0146","1809-4783","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","119","<0.1","Q4","0","0"%,

Copyright (c) 2026 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
